Program,Service,Activity,Expense/Revenue,Category Name,Sub-Category Name,Commitment item,Amount,Year
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Canada Pension Plan,"64,884.78",2022
311 Toronto,311 Development,311 PMO,Expenses,Service And Rent,Telecommnuncation,Cellular Telephones,"2,830.00",
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Comprehensive Medical,"82,114.14",
311 Toronto,311 Development,311 PMO,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contributions To Insurance Reserve Fund,0.00,
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Dental Plan,"42,696.57",
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Employment Insurance,"21,793.17",
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Allowances,Fringe Benefits To Be Distributed,0.00,
311 Toronto,311 Development,311 PMO,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"1,723,875.33",
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Group Life Insurance,"13,326.29",
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Long Term Disability,"40,285.09",
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Ontario Health Tax,"33,616.06",
311 Toronto,311 Development,311 PMO,Expenses,Benefits,Benefits,Pension Plan (OMERS),"186,264.28",
311 Toronto,311 Development,311 PMO,Expenses,Salaries,Permanent Salaries,Permanent - Overtime Sap,"1,800.00",
311 Toronto,311 Development,311 PMO,Expenses,Materials & Supplies,Office Supplies,Stationery And Office Supplies,"1,000.00",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Canada Pension Plan,"15,249.36",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Comprehensive Medical,"17,573.52",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Dental Plan,"8,865.00",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Employment Insurance,"4,903.92",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"348,762.84",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Group Life Insurance,"2,534.53",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Long Term Disability,"8,374.08",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Ontario Health Tax,"6,800.64",
311 Toronto,311 Service Delivery,311 Business Processing,Expenses,Benefits,Benefits,Pension Plan (OMERS),"31,351.49",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Canada Pension Plan,"31,226.64",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Service And Rent,Telecommnuncation,Cellular Telephones,794.00,
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Comprehensive Medical,"36,195.84",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Dental Plan,"18,206.28",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Employment Insurance,"9,972.00",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"725,136.48",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Group Life Insurance,"5,309.38",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Long Term Disability,"17,638.80",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Ontario Health Tax,"14,140.68",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Benefits,Benefits,Pension Plan (OMERS),"66,812.98",
311 Toronto,311 Service Delivery,311 Information/ Content Management,Expenses,Salaries,Permanent Salaries,Permanent - Overtime Sap,"1,000.00",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Canada Pension Plan,"8,278.92",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Service And Rent,Telecommnuncation,Cellular Telephones,37.00,
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Comprehensive Medical,"9,582.24",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Dental Plan,"4,823.04",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Employment Insurance,"2,648.16",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"191,529.36",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Group Life Insurance,"1,400.29",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Long Term Disability,"4,644.36",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Ontario Health Tax,"3,734.76",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Benefits,Benefits,Pension Plan (OMERS),"17,542.73",
311 Toronto,311 Service Delivery,311 Performance Reporting,Expenses,Salaries,Permanent Salaries,Permanent - Overtime Sap,200.00,
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Meetings,Business Meeting Expenses,500.00,
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Business Travel,Business Trav - Public Transit,800.00,
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Canada Pension Plan,"462,221.64",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Telecommnuncation,Cellular Telephones,"4,783.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Comprehensive Medical,"569,190.84",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Contracted Services,Computer Hardware Maint & Support Servs,"10,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Contracted Services,Computer Software Maint & Support Servs,"1,134,505.04",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Equipment,Computes,Computers - Hardware,"7,100.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Equipment,Computes,Computers - Software,"22,699.67",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Conference,Conferences/Seminars - Other Expenses,"3,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Conference,Conferences/Seminars - Registration Fees,"2,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Contracted Services,Contracted Services - General,"6,500.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Dental Plan,"267,536.76",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Employment Insurance,"144,472.80",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Allowances,Fringe Benefits To Be Distributed,"215,549.52",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"9,375,315.04",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Equipment,Furn & Fixtures,Furnishings,"5,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Group Life Insurance,"65,171.16",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Long Term Disability,"269,408.16",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Equipment,Equipment,M & E - Communications,"21,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Contracted Services,Managed Print Charges,"2,500.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Telecommnuncation,Megalinks,"7,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Services,Membership Fees,"3,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,General Travel,Metrage-Operational (Intown),365.00,
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Ontario Health Tax,"175,554.12",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Materials & Supplies,Office Supplies,Other Office Material &Minor Furnishing,"3,260.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,General Travel,Parking Expenses (Intown),350.00,
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Part Time Salaries,Part Time - Overtime Sap,"60,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Part Time Salaries,Part Time - Regular Pay Sap,"1,287,016.56",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Part Time Salaries,Part Time - Shift Bonus Sap,"34,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Part Time Salaries,Part Time - Vacation Pay,"77,220.96",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Benefits,Benefits,Pension Plan (OMERS),"833,591.95",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Permanent Salaries,Permanent - Overtime Sap,"113,526.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Permanent Salaries,Permanent - Shift Bonus Sap,"25,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Permanent Salaries,Permanent - Vacation Pay,"37,500.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Materials & Supplies,Office Supplies,"Photocopy, Fax And Printer Supplies","1,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Materials & Supplies,Supplies,Presentation/Promotional Items,"2,250.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Services,Public Relations/Promotions,"2,173.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Materials & Supplies,Office Supplies,Stationery And Office Supplies,"4,900.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Part Time Salaries,Statutory Holiday Premium - Part Time,"50,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Salaries,Permanent Salaries,Statutory Holiday Premium - Permanent,"65,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Services,Tech Serv -Translations & Interpreters,"40,000.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Training,Training & Development - External,"31,950.00",
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Contracted Services,"Transfer, Haulage And Storage",300.00,
311 Toronto,311 Service Delivery,311 Service Delivery,Expenses,Service And Rent,Training,Tuition Fees,"6,000.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promotion,"13,160.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Bank Service Charges,"30,400.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Commodities,Bldg Repairs & Renovation Supplies,"133,486.50",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Business Travel,Business Trav - Kilometrage,"4,000.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Benefits,Allowances,Car Allowance,"10,399.96",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Food & Beverage,"Conc, Snackbar/Giftshop Food Items&Sup","189,081.00",
