Program,Service,Activity,Expense/Revenue,Category Name,Sub-Category Name,Commitment item,Amount,Year
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Benefits,Allowances,Benefits To Be Dist,"1,043,502.67",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Benefits,Allowances,Car Allowance,"11,400.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Benefits,Benefits,WSIB Admin,0.45,2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Capital,Contribution To Capital,Cont To Capital,"536,600.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Con Veh Res - Lum Sm,"310,000.04",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Cont To Res Fnds,"94,484.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Equipment,Equipment,General Equipment,"102,600.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Commodities,Bldg & Renovatn Sups,"212,335.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Energy,Hydro,"1,463,928.62",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Energy,Natural Gas,"366,866.01",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Energy,Water,"168,502.64",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Food & Beverage,Snckbar/Giftshop Sup,"286,432.85",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Medical Supplies,Med & Den Supplies,"11,600.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Supplies,Misc Materials,"126,574.96",2024
